"PK","MATRICULA","FECHA_RADICA_TEXTO","FECHA_APERTURA_TEXTO","YEAR_RADICA","ORIP","DIVIPOLA","DEPARTAMENTO","MUNICIPIO","TIPO_PREDIO_ZONA","CATEGORIA_RURALIDAD","NUM_ANOTACION","ESTADO_FOLIO","FOLIOS_DERIVADOS","Dinámica_Inmobiliaria","COD_NATUJUR","NOMBRE_NATUJUR","NUMERO_CATASTRAL","NUMERO_CATASTRAL_ANTIGUO","DOCUMENTO_JUSTIFICATIVO","COUNT_A","COUNT_DE","PREDIOS_NUEVOS","TIENE_VALOR","TIENE_MAS_DE_UN_VALOR","VALOR"
"52838-254-010772-00010-00304-2016","254-10772","2016-09-02 00:00:00","1982-02-08 00:00:00","2016","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","10",,,"0","304","AFECTACIÓN A VIVIENDA FAMILIAR",,,"01-ESCRITURA 5011 DE 01-09-2016;","1","1","0","0","0",
"52838-254-010772-00011-00843-2021","254-10772","2021-03-04 00:00:00","1982-02-08 00:00:00","2021","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","11",,,"0","843","CANCELACIÓN POR VOLUNTAD DE LAS PARTES",,,"01-ESCRITURA 121 DE 02-03-2021;","1","1","0","0","0",
"52838-254-010784-00016-00508-2022","254-10784","2022-03-28 00:00:00","1982-01-22 00:00:00","2022","254","52838","NARIÑO","TÚQUERRES","RURAL","Intermedio","16",,,"1","508","PERMUTA DE DERECHOS Y ACCIONES",,,"01-ESCRITURA 227 DE 24-03-2022; NOTARIA PRIMERA DE TUQUERRES","1","1","0","1","0","3,000,000"
"52838-254-010784-00017-00604-2022","254-10784","2022-07-07 00:00:00","1982-01-22 00:00:00","2022","254","52838","NARIÑO","TÚQUERRES","RURAL","Intermedio","17",,,"1","604","COMPRAVENTA DE COSA AJENA",,,"01-ESCRITURA 606 DE 06-07-2022; NOTARIA PRIMERA DE TUQUERRES","2","2","0","1","0","5,000,000"
"52838-254-010787-00006-00610-2021","254-10787","2021-11-05 00:00:00","1982-02-11 00:00:00","2021","254","52838","NARIÑO","TÚQUERRES","RURAL","Intermedio","6",,,"1","610","DONACIÓN DERECHOS Y ACCIONES",,,"01-ESCRITURA 1047 DE 29-10-2021; NOTARIA SEGUNDA DE TUQUERRES","1","1","0","1","0","18,000,000"
"52838-254-010800-00014-00843-2015","254-10800","2015-08-18 00:00:00","1982-02-12 00:00:00","2015","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","14",,,"0","843","CANCELACIÓN POR VOLUNTAD DE LAS PARTES",,,"01-ESCRITURA 2331 DE 08-07-2015;","1","1","0","0","0",
"52838-254-010831-00023-00307-2022","254-10831","2022-06-09 00:00:00","1982-02-23 00:00:00","2022","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","23",,,"1","307","COMPRAVENTA DERECHOS DE CUOTA",,,"01-ESCRITURA 499 DE 08-06-2022; NOTARIA PRIMERA DE TUQUERRES","1","1","0","1","0","8,000,000"
"52838-254-010857-00005-00843-2021","254-10857","2021-12-23 00:00:00","1982-03-03 00:00:00","2021","254","52838","NARIÑO","TÚQUERRES","RURAL","Intermedio","5",,,"0","843","CANCELACIÓN POR VOLUNTAD DE LAS PARTES",,,"01-ESCRITURA 1252 DE 17-12-2021; NOTARIA SEGUNDA DE TUQUERRES","1","0","0","0","0",
"52838-254-010857-00006-00607-2021","254-10857","2021-12-23 00:00:00","1982-03-03 00:00:00","2021","254","52838","NARIÑO","TÚQUERRES","RURAL","Intermedio","6",,,"1","607","COMPRAVENTA DERECHOS Y ACCIONES",,,"01-ESCRITURA 1252 DE 17-12-2021; NOTARIA SEGUNDA DE TUQUERRES","1","2","0","1","0","5,200,000"
"52838-254-010867-00011-00843-2017","254-10867","2017-12-13 00:00:00","1982-03-09 00:00:00","2017","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","11",,,"0","843","CANCELACIÓN POR VOLUNTAD DE LAS PARTES",,,"01-ESCRITURA 981 DE 30-11-2017;","1","1","0","0","0",
"52838-254-010867-00012-00125-2021","254-10867","2021-06-30 00:00:00","1982-03-09 00:00:00","2021","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","12",,,"1","125","COMPRAVENTA",,,"01-ESCRITURA 466 DE 30-06-2021;","2","2","0","1","0","60,000,000"
